Rank; University; Size; M10; G10; P10; C40; C60; C80; USN; Scholar; ID
132; University of Nevada - Reno  ; 18; 21; 2.914125e+01; 0.239673; 2; 1; 0; 0.000000; 1.883046; 135
133; Oakland University  ; 14; 30; 2.845493e+01; 0.250175; 1; 1; 0; 0.000000; 1.881320; 61
134; New Mexico State University  ; 13; 5.550000e+01; 3.065738e+01; 0.276502; 1; 0; 0; 0.000000; 1.881113; 53
135; University of Texas - El Paso  ; 15; 25; 2.452924e+01; 0.234767; 2; 1; 0; 0.000000; 1.881014; 155
136; Claremont Graduate University  ; 6; 38; 4.476420e+01; 0.307958; 1; 0; 0; 0.000000; 1.874474; 13
137; University of Colorado - Colorado Springs  ; 12; 21; 2.713527e+01; 0.235961; 2; 1; 0; 0.000000; 1.871877; 104
138; University of Louisiana - Lafayette  ; 22; 15; 2.271069e+01; 0.248699; 3; 1; 1; 0.000000; 1.842760; 119
139; University of Cincinnati  ; 20; 28; 2.355325e+01; 0.229164; 1; 1; 1; 2.000000; 1.842098; 102
140; University of Denver; 8; 47; 2.859223e+01; 0.281253; 1; 0; 0; 0.000000; 1.835341; 108
141; University of North Texas  ; 27; 37; 2.610311e+01; 0.242856; 2; 0; 0; 0.000000; 1.826314; 140
142; Oregon Health and Science University  ; 8; 3.450000e+01; 3.730786e+01; 0.256231; 1; 0; 0; 2.200000; 1.823151; 65
143; University of Louisville  ; 15; 21; 1.374486e+01; 0.210524; 3; 1; 0; 0.000000; 1.821543; 120
144; Utah State University  ; 14; 30; 2.409981e+01; 0.244501; 3; 0; 0; 0.000000; 1.817639; 164
145; University of Wisconsin - Milwaukee  ; 12; 36; 3.225397e+01; 0.235953; 1; 0; 0; 0.000000; 1.805177; 162
146; Texas Tech University  ; 17; 1.350000e+01; 1.965743e+01; 0.198198; 1; 1; 0; 0.000000; 1.723237; 81
147; Florida Institute of Technology  ; 20; 17; 1.278533e+01; 0.173932; 1; 1; 1; 0.000000; 1.698674; 25
148; University of Arkansas - Little Rock  ; 8; 1.350000e+01; 1.583005e+01; 0.152965; 1; 1; 0; 0.000000; 1.696366; 91
149; University of Alabama - Huntsville  ; 16; 2.350000e+01; 2.378426e+01; 0.200180; 1; 0; 0; 0.000000; 1.690753; 88
150; Kent State University  ; 19; 11; 1.143368e+01; 0.190104; 2; 1; 0; 0.000000; 1.690278; 39
151; University of New Orleans  ; 11; 2.550000e+01; 1.964694e+01; 0.209560; 1; 0; 0; 0.000000; 1.676260; 137
152; Auburn University  ; 17; 22; 2.128528e+01; 0.195149; 1; 0; 0; 2.200000; 1.666052; 3
153; University of Wyoming  ; 6; 20; 1.885110e+01; 0.125225; 1; 0; 0; 0.000000; 1.637300; 163
154; University of Missouri - Kansas City  ; 19; 2.150000e+01; 1.701931e+01; 0.170646; 1; 0; 0; 0.000000; 1.634102; 132
155; Montana State University  ; 9; 30; 2.793223e+01; 0.182332; 0; 0; 0; 0.000000; 1.630785; 49
156; Mississippi State University  ; 17; 18; 1.871574e+01; 0.184184; 1; 0; 0; 0.000000; 1.623027; 47
157; Southern Methodist University  ; 12; 1.550000e+01; 1.151435e+01; 0.184535; 2; 0; 0; 2.000000; 1.600143; 74
158; University of Mississippi  ; 8; 18; 1.120285e+01; 0.187738; 1; 0; 0; 0.000000; 1.565199; 130
159; Western Michigan University  ; 13; 1.850000e+01; 1.059581e+01; 0.145120; 1; 0; 0; 0.000000; 1.563173; 173
160; University of Southern Mississippi  ; 13; 7; 1.016712e+01; 0.150450; 2; 0; 0; 0.000000; 1.512936; 150
161; Air Force Institute of Technology  ; 12; 1.850000e+01; 1.933908e+01; 0.119294; 0; 0; 0; 0.000000; 1.509952; 1
162; Towson University  ; 28; 9.500000e+00; 1.189982e+01; 0.128111; 1; 0; 0; 0.000000; 1.503748; 82
163; Michigan Technological University  ; 16; 1.750000e+01; 1.772898e+01; 0.122210; 0; 0; 0; 0.000000; 1.492048; 46
164; North Dakota State University  ; 7; 18; 1.484027e+01; 0.129219; 0; 0; 0; 0.000000; 1.474340; 57
165; University of Idaho  ; 13; 19; 1.138480e+01; 0.139902; 0; 0; 0; 0.000000; 1.452862; 113
166; Oklahoma State University  ; 12; 1.650000e+01; 1.158390e+01; 0.116617; 0; 0; 0; 0.000000; 1.437326; 63
167; Nova Southeastern University  ; 26; 1; 4.729850e+00; 0.098127; 1; 1; 0; 0.000000; 1.434252; 60
168; New Mexico Institute of Mining and Technology  ; 7; 11; 1.098965e+01; 0.070758; 0; 0; 0; 0.000000; 1.388739; 52
169; University of Nebraska - Omaha  ; 17; 1.250000e+01; 8.727463e+00; 0.104479; 0; 0; 0; 0.000000; 1.380162; 134
170; University of Colorado - Denver  ; 10; 8; 1.224885e+01; 0.092535; 0; 0; 0; 0.000000; 1.371251; 105
171; Louisiana Tech University  ; 6; 6.500000e+00; 4.527019e+00; 0.075000; 0; 0; 0; 0.000000; 1.273982; 43
172; Indiana State University  ; 7; 0; 2.359611e+00; 0.058709; 0; 0; 0; 0.000000; 1.090726; 34
173; LIU Post  ; 4; 0; 1; 0.013363; 0; 0; 0; 0.000000; 1.059062; 40
