name,year,dblp name
Siddhartha Srinivasa,2005,Siddhartha S. Srinivasa
Stephen B. Stancliff,2009,Stephen B. Stancliff
Peter Staritz,2003,
Andrew Stein,2008,Andrew N. Stein
Benjamin Stephens,2011,Benjamin J. Stephens
Thomas Stepleton,2010,Thomas S. Stepleton
Michael Stilman,2007,Mike Stilman
Martin Stolle,2008,Martin Stolle
Ashley Stroupe,2003,Ashley W. Stroupe
Kristen Stubbs,2008,Kristen Stubbs
Breelyn Melissa Kane Styler,2018,Breelyn Melissa Kane Styler
George Lopez Subrebost,2005,
Gita Sukthankar,2007,Gita Reese Sukthankar
Rahul Sukthankar,1997,Rahul Sukthankar
Wen Sun,2019,Wen Sun 0002
Abhijeet Tallavajhula,2018,Abhijeet Tallavajhula
Xiang Zhi Tan,2022,Xiang Zhi Tan
Prateek Tandon,2015,Prateek Tandon
Michael D. Taylor,2016,Michael Taylor
Matthew Tesch,2013,Matthew Tesch
Nitish Thatte,2019,Nitish Thatte
David R. Thompson,2008,David R. Thompson 0001
Yuandong Tian,2013,Yuandong Tian
David Tolliver,2006,David Tolliver
Christopher Tomaszewski,2021,Christopher Tomaszewski
Paul Tompkins,2005,Paul Tompkins
Laura Trutoiu,2014,Laura C. Trutoiu
Yanghai Tsin,2003,Yanghai Tsin
Bertram Unger,2008,Bertram J. Unger
Ranjith Unnikrishnan,2008,Ranjith Unnikrishnan
Christopher Urmson,2005,Chris Urmson
Marynel Vazquez,2017,Marynel Vázquez
Sundar Vedula,2001,Sundar Vedula
Prasanna Velagapudi,2012,Prasanna Velagapudi
Anirudh Vemula,2022,Anirudh Vemula
Arun Venkatraman,2017,Arun Venkatraman
Vandi Verma,2005,Vandi Verma
Minh Vo,2019,Minh Vo
Richard Voyles,1997,Richard Volpe
Glenn Wagner,2015,Glenn Wagner
Jacob Walker,2018,Jacob Walker
Cheng-Hua Wang,1997,Cheng-Hua Wang
Chieh-Chih Wang,2004,Chieh-Chih Wang
Jingyan Wang,2021,Jingyan Wang 0001
Jiuguang Wang,2015,Jiuguang Wang
Xiaolong Wang,2019,Xiaolong Wang 0004
Yuxiong Wang,2018,Yu-Xiong Wang
Carl Wellington,2005,Carl Wellington
Eric Westman,2019,Eric Westman
David Wettergreen,1995,David Wettergreen
Eric Whitman,2013,Eric C. Whitman
Alik Sunil Widge,2006,Alik Widge
Todd Williamson,1999,Todd Williamson
Daniel H. Wilson,2005,Daniel H. Wilson
Uland Wong,2012,Uland Wong
Nathan Wood,2015,Nathan A. Wood
Albert Wu,2017,Albert Wu
Chenyu Wu,2010,Chenyu Wu
Huadong Wu,2004,Huadong Wu
Jing Xiao,2005,Jing Xiao
Ben Xinjilefu,2015,X. Xinjilefu 0001
Xuehan Xiong,2015,Xuehan Xiong
Yalin Xiong,1995,Yalin Xiong
Ling Xu,2011,
Sungwook Yang,2015,Sungwook Yang
Xuning Yang,2022,Xuning Yang
John Yao,2020,John Yao
Stella Yu,2003,Stella X. Yu
Garth Zeglin,1999,Garth Zeglin
Ada Zhang,2020,Ada Zhang
Dongmei Zhang,1999,Dongmei Zhang
Hao Zhang,2020,Hao Zhang 0025
Ji Zhang,2017,Ji Zhang 0003
Jiayong Zhang,2006,Jiayong Zhang
Yin Zhang,2018,
Liang Zhao,2001,
Feng Zhou,2014,Feng Zhou 0002
Jiaji Zhou,2018,Jiaji Zhou
Charles Zitnick,2003,C. Lawrence Zitnick
Robert Michael Zlot,2006,Robert Zlot
Matthew Zucker,2010,Matthew Zucker 0001
Nina Zumel,1997,Nina B. Zumel
