,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
66,67, Portland State University  ,22,89.5,56.37836,0.444576,10,7,3,0.0,2.711335,68,Portland State University,68,Portland State University 
67,68, University of Maryland - Baltimore County  ,25,71.0,88.11555,0.490947,10,5,4,2.4,2.710109,122,University of Maryland - Baltimore County,122,Univ. of Maryland - Baltimore County
68,69, Lehigh University  ,16,73.0,93.51541,0.515984,9,4,1,2.1,2.68415,41,Lehigh University,41,Lehigh University
69,70, University of Illinois - Chicago  ,31,66.0,74.04726,0.458296,10,6,3,2.7,2.6734419999999997,114,University of Illinois - Chicago,114,University of Illinois at Chicago
70,71, University of Texas - Arlington  ,26,74.0,63.190369999999994,0.427756,12,5,1,2.2,2.671872,152,University of Texas - Arlington,152,University of Texas at Arlington
71,72, University of Florida  ,41,50.5,61.48327,0.413872,12,8,2,3.0,2.653644,109,University of Florida,109,University of Florida
72,73, University of Nebraska - Lincoln  ,28,71.0,65.37488,0.431039,10,5,1,2.4,2.633239,133,University of Nebraska - Lincoln,133,University of Nebraska
73,74, University of Central Florida  ,36,53.0,58.02146,0.402739,11,8,1,2.2,2.632727,100,University of Central Florida,100,University of Central Florida
74,75, Temple University  ,22,72.0,60.25476,0.432159,10,5,3,2.0,2.617597,79,Temple University,79,Temple University
75,76, CUNY Graduate School and University Center  ,78,28.5,30.41333,0.277851,22,10,2,2.3,2.603797,9,CUNY Graduate School and University Center,9,CUNY
76,77, University of South Florida  ,21,62.5,58.59588000000001,0.41639499999999996,8,5,1,2.1,2.537229,148,University of South Florida,148,University of South Florida
77,78, University of Delaware  ,24,67.0,62.79993,0.438468,8,3,1,2.4,2.505462,107,University of Delaware,107,University of Delaware
78,79, Illinois Institute of Technology  ,18,64.5,56.66457,0.383108,8,3,0,2.1,2.473043,33,Illinois Institute of Technology,33,Illinois Institute of Technology
79,80, University of Missouri  ,15,66.0,55.866369999999996,0.417793,6,3,1,2.1,2.429565,131,University of Missouri,131,University of Missouri 
