name,pms,totals,gcite,papers,n_papers,citations,h-index,i10,csrp,csrpn,,,,,,,,,,,,,,
Steven Rudich,7.4,7.3,238,41,33.7,4690,23,28,16,6.4,,,,,,,,,,,,,,
Umut A. Acar,6.9,5.8,154,80,23.9,2814,28,50,16,4.4,,,,,,,,,,,,,,
David R. O'Hallaron,8.7,7,172,56,17.8,5206,37,71,15,4.4,,,,,,,,,,,,,,
Eric Nyberg,1.9,2.5,214,82,22,5479,36,86,15,4.8,,,,,,,,,,,,,,
Hartmut Geyer,2.3,2.1,88,29,10.4,4156,23,36,15,5.4,,,,,,,,,,,,,,
Matt Fredrikson,3.4,2.2,186,64,28.2,2088,16,25,15,3.9,,,,,,,,,,,,,,
Bruce H. Krogh,15.1,12.7,369,93,32.2,14637,58,174,14,4.7,,,,,,,,,,,,,,
Carl Kingsford,4.6,4.5,271,44,15.1,4376,25,45,14,5.1,,,,,,,,,,,,,,
David Garlan,2.3,6.2,1658,155,56.3,33600,73,194,14,4.7,,,,,,,,,,,,,,
Kemal Oflazer,0.1,3.1,185,24,7.3,4267,36,63,14,5.7,,,,,,,,,,,,,,
Alan W. Black,3.6,4.7,916,136,42.1,17622,62,194,13,2.9,,,,,,,,,,,,,,
Brandon Lucia,5.3,4.2,124,29,9.6,1440,18,25,13,4.5,,,,,,,,,,,,,,
Jan Hoffmann 0002,2.7,2.9,9,168,63.5,819,16,18,13,3.9,,,,,,,,,,,,,,
Karl Crary,4.3,6.7,282,29,8.4,4049,26,48,13,6.6,,,,,,,,,,,,,,
Katerina Fragkiadaki,3.9,2.8,112,52,27.9,1100,13,15,13,4,,,,,,,,,,,,,,
Sivaraman Balakrishnan,4.4,2.3,105,136,42.9,1256,19,22,13,3,,,,,,,,,,,,,,
Yulia Tsvetkov,0.8,1,123,40,10.8,949,16,24,13,3.4,,,,,,,,,,,,,,
Yuvraj Agarwal,4.2,2.9,199,49,10.8,4346,31,48,13,3.1,,,,,,,,,,,,,,
David Held,2.5,1.7,79,25,6.4,1281,13,13,12,3.4,,,,,,,,,,,,,,
Fei Fang,1.3,1.2,37,51,11.3,2239,27,47,12,2.4,,,,,,,,,,,,,,
Jack Mostow,7.8,8.5,115,72,28.7,4731,36,90,12,5.3,,,,,,,,,,,,,,
James McCann,3.6,3,46,11,4.8,687,11,11,12,3.6,,,,,,,,,,,,,,
Keenan Crane,3.9,2.8,98,165,62.9,1627,17,19,12,3.6,,,,,,,,,,,,,,
Laura A. Dabbish,9.2,7.3,517,153,45.8,7784,32,52,12,3.8,,,,,,,,,,,,,,
Ronald Rosenfeld,5.9,4.6,397,124,67.2,12171,47,103,12,3.1,,,,,,,,,,,,,,
Daniel Dominic Sleator,6,5.9,901,34,12.9,13609,32,42,11,3.9,,,,,,,,,,,,,,
Ameet Talwalkar,2.6,2.7,358,41,11.2,5535,27,40,10,2.6,,,,,,,,,,,,,,
Justine Cassell,2.9,4.1,514,77,26.6,17013,59,129,10,2.5,,,,,,,,,,,,,,
Christopher James Langmead,4.1,3.9,228,36,12.9,2084,23,38,9,2.9,,,,,,,,,,,,,,
Jonathan Aldrich,4.5,5.5,383,72,18.6,4755,33,71,9,2.6,,,,,,,,,,,,,,
Justine Sherry,3.6,1.7,134,66,22.6,1545,13,13,9,1.7,,,,,,,,,,,,,,
Kenneth R. Koedinger,14.1,12.1,641,89,40,24788,72,260,9,2.5,,,,,,,,,,,,,,
Robert F. Murphy,2.7,2.2,256,132,43.1,11324,54,159,9,2.7,,,,,,,,,,,,,,
Alessandro Acquisti,4.5,3.5,573,64,19.7,18870,60,117,8,2.2,,,,,,,,,,,,,,
Bogdan Vasilescu,1.9,1.4,91,37,9.2,1568,22,33,8,1.9,,,,,,,,,,,,,,
Lining Yao,2.8,0.9,10,47,18.3,505,11,13,8,1.1,,,,,,,,,,,,,,
Bhiksha Raj,2.7,3.9,640,128,40.9,10719,52,169,7,2.2,,,,,,,,,,,,,,
Chinmay Kulkarni,2.5,2.1,42,21,6.4,958,15,16,7,1.7,,,,,,,,,,,,,,
Jian Ma 0004,2.5,2,214,146,48.3,5835,30,49,7,1.8,,,,,,,,,,,,,,
Levent Burak Kara,1.4,2.4,53,10,6,1834,25,31,7,2.5,,,,,,,,,,,,,,
Nathan Beckmann,2.1,1.7,120,68,24.8,1200,14,19,7,1.9,,,,,,,,,,,,,,
Raj Reddy,4.5,6.4,114,151,47.8,7066,30,49,7,2.4,,,,,,,,,,,,,,
William L. Scherlis,2.4,3.1,131,28,14.3,9042,25,46,7,2.9,,,,,,,,,,,,,,
Bruno Sinopoli,13.2,9.7,604,105,30.5,10572,45,93,6,1.4,,,,,,,,,,,,,,
Ioannis Gkioulekas,1.9,1.4,6,8,2.1,245,9,8,6,1.7,,,,,,,,,,,,,,
Seyoung Kim,3.3,3.9,140,84,27.3,11265,15,16,6,2.7,,,,,,,,,,,,,,
Tai Sing Lee,3.1,3.9,292,30,11.2,8573,24,39,6,2.4,,,,,,,,,,,,,,
Vincent Aleven,7.5,7.5,325,128,40.7,10303,46,143,6,2.2,,,,,,,,,,,,,,
Claire Le Goues,2.1,2.1,227,43,11.7,3052,21,29,5,1.5,,,,,,,,,,,,,,
Gary K. Fedder,2.6,2,94,11,3.9,10243,54,160,5,1.4,,,,,,,,,,,,,,
Mary Shaw,2.6,4.5,765,335,113.3,21088,53,128,5,1.4,,,,,,,,,,,,,,
Michael Ian Shamos,1,1.6,133,45,25.1,15932,24,31,5,3,,,,,,,,,,,,,,
Nihar B. Shah,3.4,2.6,323,17,5.8,3102,26,35,5,1.8,,,,,,,,,,,,,,
Kathleen M. Carley,1,5,416,29,8.5,29346,84,307,4,1.3,,,,,,,,,,,,,,
Amy Ogan,2.2,1.5,41,32,8.2,819,16,22,3,0.6,,,,,,,,,,,,,,
Douglas C. Sicker,1.7,2.5,117,62,18.8,4004,28,74,3,0.8,,,,,,,,,,,,,,
Jessica Hammer,0.9,0.7,23,113,31.2,1974,9,9,3,0.5,,,,,,,,,,,,,,
