rank,uni,measured,predicted,combined
222,Toyota Technological Institute at Chicago,4180,409,2081
223,Vanderbilt University,3814,505,2079
224,Uppsala University,3436,643,2078
225,University of Nottingham,3248,731,2076
226,University of Luxembourg,2871,958,2066
227,College of William & Mary,3900,460,2054
228,Worcester Polytechnic Institute,3836,477,2052
229,National Research Council,4253,373,2049
230,King's College London,3866,463,2045
231,Lund University,3351,644,2043
232,University of Victoria,3763,488,2039
233,Humboldt University of Berlin,4026,413,2033
234,Nokia,4890,262,2032
235,center for bioinformatics and computational biology,10564,43,2027
236,National University of Defense Technology,3201,697,2026
237,PARC,7600,92,2022
238,Oak Ridge National Laboratory,3275,628,1995
239,University of Oulu,3808,439,1992
240,University of Houston,3370,584,1992
241,Carleton University,4151,358,1990
242,Université catholique de Louvain,3476,540,1988
243,University of Chile,4020,384,1987
244,Athens University of Economics and Business,4214,334,1970
245,University of Western Ontario,3575,487,1966
246,Linköping University,3312,580,1964
247,Information Technology University,3261,587,1950
248,University of Birmingham,3007,708,1949
249,University of Copenhagen,2734,870,1939
250,York University,3569,465,1937
251,King Abdullah University of Science and Technology,2560,1009,1936
252,Alcatel-Lucent,5021,209,1935
253,University of Padua,3222,585,1931
254,European Bioinformatics Institute,4148,324,1930
255,Florida State University,3683,424,1926
256,Indian Institute of Technology Bombay,3121,622,1924
257,Tohoku University,3448,492,1923
258,George Washington University,3045,658,1923
259,Sun Yat-sen University,2937,702,1912
260,Open University,3609,433,1910
261,Beihang University,2474,1036,1905
262,University of Bremen,3552,444,1903
263,University of Liverpool,3572,431,1894
264,Leipzig University,4174,289,1874
265,University of New Mexico,4020,311,1865
266,"University of Technology, Sydney",2462,965,1859
267,Heidelberg University,3006,598,1852
268,Idiap Research Institute,3520,410,1847
269,Lawrence Livermore National Laboratory,3147,530,1844
270,University of Tübingen,3488,413,1839
271,University of York,3411,413,1811
272,Huawei,2421,901,1800
273,Universidade Federal de Minas Gerais,2973,552,1794
274,Queen's University,3630,346,1793
275,National Institute of Informatics,2483,833,1789
276,Trinity College (Connecticut),3747,315,1783
277,Ericsson,4408,215,1781
278,Binghamton University,3340,408,1778
279,University of Milan,3443,379,1776
280,University of Coimbra,3050,500,1773
281,Amazon.com,3772,304,1772
282,University of Ottawa,3165,427,1735
283,Argonne National Laboratory,3004,475,1727
284,University of Oslo,3614,289,1694
285,Advanced Micro Devices,2900,482,1693
286,Istituto Italiano di Tecnologia,2672,575,1685
287,University of Warsaw,2498,673,1685
288,Academia Sinica,2509,659,1680
289,Korea University,2882,461,1663
290,University of Lugano,2812,484,1659
291,University of Haifa,2799,489,1658
292,Utrecht University,3085,384,1651
293,Broad Institute,5083,117,1640
294,Case Western Reserve University,3014,393,1636
295,Nippon Telegraph and Telephone,3098,367,1634
296,Clemson University,2164,840,1629
297,Toshiba,3299,312,1626
298,RMIT University,2833,443,1624
299,Hong Kong Baptist University,2765,469,1624
300,Yonsei University,2455,616,1621
301,Télécom ParisTech,2909,397,1601
302,National Institutes of Health,2888,400,1596
303,Los Alamos National Laboratory,3369,277,1592
304,University of Oregon,3372,253,1550
305,"Concordia University (Saint Paul, Minnesota)",2577,466,1543
306,University of Zaragoza,2696,399,1520
